time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.6735	15.564	4.65111	1.98579	0.597186	lidar	3.34279	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5831	15.7647	4.63137	2.01189	0.590468	radar	1.2733	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4769	15.982	4.6509	2.04219	0.591176	lidar	0.0468307	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3771	16.1879	4.65702	2.0588	0.564113	radar	1.77987	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.268	16.3652	4.60882	2.08864	0.566065	lidar	0.533575	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1528	16.5589	4.59815	2.11817	0.569185	radar	0.246791	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0177	16.7757	4.64655	2.14822	0.570561	lidar	0.257497	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8615	16.968	4.65523	2.20626	0.629451	radar	6.72029	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6791	17.2147	4.79563	2.24246	0.633412	lidar	2.0249	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5776	17.417	4.77695	2.22888	0.550426	radar	5.96367	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3578	17.6162	4.86976	2.27696	0.570499	lidar	3.85436	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2212	17.8079	4.86077	2.28129	0.524174	radar	2.40047	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0907	17.9918	4.83035	2.29793	0.514815	lidar	0.921812	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9158	18.1462	4.80548	2.34033	0.544031	radar	1.96725	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7901	18.2826	4.70376	2.36172	0.538903	lidar	1.0515	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6592	18.4612	4.67956	2.36926	0.511938	radar	6.65797	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4587	18.6484	4.7554	2.3977	0.514277	lidar	0.547999	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2799	18.7883	4.73181	2.4321	0.528985	radar	1.73231	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.121	18.9223	4.67813	2.45671	0.527487	lidar	0.27647	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9536	19.0926	4.68936	2.46894	0.50718	radar	3.0839	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7349	19.2099	4.69921	2.50932	0.522188	lidar	2.69464	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5434	19.3647	4.72572	2.53288	0.522688	radar	3.2552	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3115	19.5317	4.8208	2.55853	0.521387	lidar	0.848545	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0898	19.6143	4.79444	2.60839	0.555376	radar	10.074	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
